A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20151003011696;2;2;13;09;1;1;6;3;163.15344201
1;20151002011696;2;2;13;09;1;1;6;3;163.15344201
2;20151001022998;2;2;13;01;2;1;6;5;123.63089118
2;20151002022998;2;2;13;01;2;1;6;5;123.63089118
1;20151001011696;2;2;13;09;1;1;6;3;163.15344201
2;20151001002021;3;3;13;04;0;1;1;1;481.13493672
1;20151001011527;2;2;13;03;8;1;6;4;63.587212045
2;20151000037593;2;2;13;13;1;2;6;4;957.21145503
1;20151001011880;2;2;13;09;1;1;6;3;163.15344201
1;20151000034097;2;2;13;10;1;2;6;3;38.73282296
1;20151000011696;2;2;13;09;1;1;6;3;163.15344201
2;20151000009168;2;2;13;09;1;3;6;5;185.87678598
2;20151000002021;3;3;13;04;0;1;1;1;481.13493672
1;20151000011880;2;2;13;09;1;1;6;3;163.15344201
2;20151000022998;2;2;13;01;2;1;6;5;123.63089118
1;20151000011527;2;2;13;03;8;1;6;4;63.587212045
1;20151000011518;2;2;13;01;8;1;6;5;63.587212045
1;20151000019851;2;2;13;01;8;1;6;3;175.53268244
1;20151000003192;2;1;13;03;2;1;6;5;167.89814472
2;20151000000422;3;3;13;01;0;1;1;1;277.64871078
2;20151000018092;2;2;13;04;1;1;1;4;112.063171
2;20151000012165;2;2;13;05;1;1;1;4;326.06470762
1;20151000019852;2;2;13;01;7;1;6;5;175.53268244
1;20151000019842;2;2;13;01;1;1;6;4;257.52564931
1;20151000019829;2;2;13;01;1;1;1;5;257.52564931
2;20151000000441;3;3;13;01;0;1;1;1;277.64871078
2;20151000005408;2;2;13;09;1;1;6;2;101.56077433
2;20151000020486;2;2;13;09;1;1;1;4;185.87678598
2;20151000009167;2;2;13;09;1;2;6;4;185.87678598
1;20151000008498;2;2;13;05;1;1;1;5;222.07759568
2;20151000020522;2;2;13;09;3;2;6;4;185.87678598
2;20151000020171;2;2;13;04;1;1;6;4;185.47638316
2;20151000015276;2;2;13;16;1;1;6;4;79.116756529
1;20151000019850;2;2;13;01;1;1;1;4;257.52564931
1;20151000019834;2;2;13;01;1;1;6;4;257.52564931
2;20151000000427;3;3;13;01;0;1;1;1;277.64871078
2;20151000018093;2;2;13;04;1;1;1;5;112.063171
2;1014EVB0006569;3;3;13;05;0;1;1;1;297.05266701
2;1014EVB0006570;3;3;13;05;0;1;1;1;297.05266701
2;20151000007660;2;3;13;01;9;1;6;3;178.96393975
2;20151000007543;2;2;13;05;1;1;1;5;170.54269224
2;1014EVB0006564;3;3;13;05;0;1;1;1;297.05266701
2;20151000005390;2;2;13;09;1;1;6;4;101.56077433
1;20151000019840;2;2;13;01;1;1;6;4;257.52564931
2;20151000014089;2;2;13;16;1;2;6;4;79.116756529
2;20151000018134;2;2;13;04;1;1;1;4;112.063171
2;20151000018094;2;2;13;04;1;1;1;4;112.063171
2;20151000005420;2;2;13;09;1;2;6;3;101.56077433
2;20151000009194;2;2;13;09;1;2;6;4;185.87678598
1;20151000019837;2;2;13;01;1;1;6;4;257.52564931
1;20151000019831;2;2;13;01;1;1;6;5;257.52564931
2;20151000003126;3;3;13;04;0;1;1;1;481.13493672
2;20151000009193;2;2;13;09;8;1;6;4;129.5379278
2;20151000020148;2;2;13;04;9;1;6;5;97.04843178
1;20151000008357;2;2;13;05;1;1;1;4;222.07759568
2;20151000020521;2;2;13;09;2;1;6;4;129.5379278
2;20151000020149;2;2;13;04;1;1;6;5;185.47638316
2;20151000018135;2;2;13;04;1;1;1;5;112.063171
2;20151000009170;2;2;13;09;1;1;6;5;185.87678598
2;20151000018136;2;2;13;04;1;1;6;3;112.063171
2;20151000009192;2;2;13;09;5;1;1;3;129.5379278
2;20151000015030;3;3;13;10;0;1;1;1;481.13493672
1;20151000017157;2;1;13;01;3;1;6;5;319.08333713
1;20151000019855;2;2;13;01;7;1;6;6;175.53268244
2;20151000013246;2;2;13;04;7;5;6;6;58.635794058
1;20151000019854;2;2;13;01;1;1;1;4;257.52564931
2;20151000013247;2;2;13;04;8;4;6;4;58.635794058
2;20151000020518;2;2;13;09;1;1;6;4;185.87678598
2;20151000013245;2;2;13;01;8;1;6;5;58.635794058
2;20151000007659;2;3;13;01;3;1;6;4;262.55967917
2;20151000001995;3;3;13;04;0;1;1;1;481.13493672
1;20131000082849;3;1;13;16;0;5;6;1;493.16017116
2;20151000009169;2;2;13;09;1;1;6;4;185.87678598
2;20151000017235;2;1;13;01;3;1;6;5;319.08333713
1;20151000019838;2;2;13;01;1;1;1;4;257.52564931
1;20141000081628;2;1;13;09;3;1;6;6;112.15295345
1;20151000019853;2;2;13;01;8;1;6;4;175.53268244
1;20151000019822;2;2;13;01;2;1;6;5;175.53268244
1;20151000019824;2;2;13;01;2;1;6;4;175.53268244
1;20141100061947;3;1;13;98;0;1;6;1;22.382275578
2;20151000018012;2;2;13;01;8;4;6;5;193.7051412
1;20131000082824;3;1;13;16;0;5;6;1;197.26406807
2;20151000012216;2;2;13;05;1;1;1;4;343.05408337
1;20151000009383;2;1;13;01;6;1;6;5;122.51500989
2;20151000020489;2;2;13;09;1;1;1;4;185.87678598
2;20151000020150;2;2;13;04;1;1;6;4;185.47638316
1;20151000019843;2;2;13;01;1;1;6;4;257.52564931
2;20151000009195;2;2;13;09;1;1;1;5;185.87678598
2;20151000001999;3;3;13;04;0;1;1;1;481.13493672
2;20151000018014;2;2;13;01;1;1;6;5;284.18663446
1;20151000008361;2;2;13;05;1;1;1;4;222.07759568
2;20151000020519;2;2;13;09;8;1;6;4;129.5379278
